State,Year,Month,Provisional Number of Live Births
VIRGINIA,2016,July,8834
VIRGINIA,2016,August,9361
VIRGINIA,2016,September,8831
WASHINGTON,2016,January,7267
WASHINGTON,2016,February,6899
WASHINGTON,2016,March,7628
WASHINGTON,2016,April,7291
WASHINGTON,2016,May,7818
WASHINGTON,2016,June,7982
WASHINGTON,2016,July,8062
WASHINGTON,2016,August,8052
WASHINGTON,2016,September,7777
WEST VIRGINIA,2016,January,1556
WEST VIRGINIA,2016,February,1528
WEST VIRGINIA,2016,March,1652
WEST VIRGINIA,2016,April,1482
WEST VIRGINIA,2016,May,1635
WEST VIRGINIA,2016,June,1597
WEST VIRGINIA,2016,July,1715
WEST VIRGINIA,2016,August,1777
WEST VIRGINIA,2016,September,1690
WISCONSIN,2016,January,5247
WISCONSIN,2016,February,5011
WISCONSIN,2016,March,5799
WISCONSIN,2016,April,5392
WISCONSIN,2016,May,5655
WISCONSIN,2016,June,5704
WISCONSIN,2016,July,5836
WISCONSIN,2016,August,6080
WISCONSIN,2016,September,5817
WYOMING,2016,January,626
WYOMING,2016,February,555
WYOMING,2016,March,658
WYOMING,2016,April,626
WYOMING,2016,May,634
WYOMING,2016,June,695
WYOMING,2016,July,632
WYOMING,2016,August,620
WYOMING,2016,September,618
PUERTO RICO,2016,January,2447
PUERTO RICO,2016,February,2294
PUERTO RICO,2016,March,2373
PUERTO RICO,2016,April,2226
PUERTO RICO,2016,May,2368
PUERTO RICO,2016,June,2340
PUERTO RICO,2016,July,2184
PUERTO RICO,2016,August,2463
PUERTO RICO,2016,September,2579
